job_id_x,depth,seed,k,obj_val_x,time_x,job_id_y,obj_val_y,time_y,nash
15159155,10.0,10.0,4.0,7.0,6.25,15041829,6.999999511091935,7.47,6.319749216300941
15156924,5.0,2.0,5.0,8.0,4.17,15039535,7.999999052329014,7.0,7.266055045871568
15157680,6.0,7.0,15.0,6.4,13.06,15040292,6.121457489878543,4.88,6.121457489878543
15157851,7.0,28.0,5.0,6.4,7.14,15040463,6.054054054054055,5.19,6.054054054054054
15158154,8.0,1.0,1.0,8.0,3.71,15040767,8.0,3.66,6.017910447761189
15157894,7.0,11.0,7.0,6.857142857142856,4.98,15040506,6.3197492163009406,5.86,6.3197492163009406
15157749,7.0,16.0,2.0,8.0,4.14,15040361,8.0,4.1,6.6607929515418505
15158793,9.0,10.0,7.0,6.857142857142857,6.89,15041469,6.319749216300941,12.01,6.319749216300941
15158751,9.0,28.0,5.0,6.4,6.56,15041426,6.054054054054054,10.63,6.054054054054054
15158480,8.0,27.0,11.0,7.363636363636363,4.23,15041093,6.810810810810811,6.95,6.810810810810811
15157166,5.0,4.0,13.0,6.153846153846154,5.89,15039777,5.974137931034482,5.86,5.974137931034482
15157004,5.0,22.0,7.0,5.999999999999997,4.29,15039615,5.694915254237288,7.17,5.668711656441718
15157593,6.0,10.0,12.0,6.666666666666666,4.96,15040205,6.3197492163009406,5.33,6.3197492163009406
15157534,6.0,11.0,10.0,6.4,5.22,15040146,6.3197492163009406,4.92,6.3197492163009406
15157564,6.0,11.0,11.0,6.545454545454546,5.27,15040176,6.3197492163009406,4.49,6.3197492163009406
15157953,7.0,10.0,9.0,6.999999999999999,4.43,15040565,6.3197492163009406,6.5,6.3197492163009406
15158448,8.0,25.0,10.0,7.199999999999999,4.81,15041061,6.63157894736842,5.51,6.63157894736842
15157527,6.0,4.0,10.0,6.300000000000001,5.16,15040139,5.976284584980236,7.96,5.976284584980236
15157725,7.0,22.0,1.0,7.0,3.91,15040337,7.0,3.75,5.694915254237289
15158193,8.0,10.0,2.0,8.0,5.93,15040806,8.0,6.73,6.319749216300941
15159033,9.0,10.0,15.0,6.533333333333333,9.47,15041709,6.319749216300941,12.45,6.319749216300941
15159224,10.0,19.0,6.0,6.666666666666666,7.09,15041898,6.359621373736504,10.46,6.3596214511041005
15159157,10.0,12.0,4.0,8.0,4.45,15041831,8.0,5.52,7.024390243902439
15159195,10.0,20.0,5.0,7.2,6.98,15041869,6.999999920446338,6.66,6.596858638743456
15158918,9.0,15.0,11.0,6.545454545454546,5.77,15041594,6.3197492163009406,6.6,6.3197492163009406
15158724,9.0,1.0,5.0,7.0,5.5,15041399,6.017910447761194,10.98,6.017910447761194
15157685,6.0,12.0,15.0,7.199999999999999,5.0,15040297,7.024390243902439,4.51,7.024390243902439
15159425,10.0,10.0,13.0,6.461538461538462,10.96,15042099,6.319749216300941,14.86,6.319749216300941
15156879,5.0,17.0,3.0,6.999999999999999,10.62,15039490,7.0,4.92,6.222222222222222
15158726,9.0,3.0,5.0,7.0,4.98,15041401,6.0,11.23,5.952755905511811
15158095,7.0,2.0,14.0,7.714285714285711,7.12,15040707,7.322033898305085,10.37,7.322033898305085
15159467,10.0,22.0,14.0,5.999999999999999,21.03,15042141,5.694915227376488,50.93,5.694915254237288
15159199,10.0,24.0,5.0,7.2,6.46,15041873,7.0,6.02,6.719999999999999
15158224,8.0,11.0,3.0,6.999999999999999,5.49,15040837,7.0,6.56,6.3197492163009406
15157319,6.0,6.0,3.0,8.0,4.31,15039931,8.0,4.09,6.653465346534654
15156835,5.0,3.0,2.0,7.0,3.42,15039446,7.0,11.51,5.948497854077254
15157621,6.0,8.0,13.0,6.923076923076918,9.17,15040233,6.72,6.38,6.72
15158569,8.0,26.0,14.0,7.07142857142857,5.25,15041182,6.857142857142858,6.55,6.857142857142858
15157815,7.0,22.0,4.0,6.0,4.51,15040427,6.0,7.29,5.694915254237289
15157994,7.0,21.0,10.0,7.2,4.81,15040606,6.653465346534654,5.01,6.653465346534654
15157066,5.0,24.0,9.0,7.0,4.27,15039677,6.720000000000001,6.21,6.720000000000001
15157022,5.0,10.0,8.0,6.75,5.59,15039633,6.319749216300941,5.37,6.319749216300941
15158019,7.0,16.0,11.0,7.0,8.65,15040631,6.6607929515418505,14.11,6.6607929515418505
15158675,9.0,12.0,3.0,9.0,10.8,15041350,8.999999995999998,4.22,7.024390243902439
15159494,10.0,19.0,15.0,6.533333333333333,13.7,15042168,6.3596214511041005,29.28,6.3596214511041005
15159073,10.0,18.0,1.0,9.0,3.71,15041747,9.0,3.67,6.857142857142858
15157266,6.0,13.0,1.0,9.0,3.62,15039878,9.0,3.72,6.531317494600432
15158336,8.0,3.0,7.0,6.428571428571428,5.49,15040949,5.952755905511811,8.83,5.952755905511811
15157409,6.0,6.0,6.0,7.5,4.51,15040021,6.653465346534654,5.83,6.653465346534654
15157294,6.0,11.0,2.0,8.0,4.49,15039906,8.0,3.74,6.3197492163009406
15156814,5.0,12.0,1.0,9.0,3.32,15039425,9.0,3.59,7.024390243902439
15157780,7.0,17.0,3.0,7.0,3.94,15040392,7.0,4.37,6.222222222222223
15159048,9.0,25.0,15.0,6.933333333333334,5.96,15041724,6.631578947368421,8.66,6.631578947368421
15159011,9.0,18.0,14.0,7.071428571428571,10.28,15041687,6.857142857142858,9.23,6.857142857142858
15156881,5.0,19.0,3.0,8.0,3.49,15039492,8.0,4.11,6.359621451104101
15159458,10.0,13.0,14.0,6.857142857142857,12.59,15042132,6.531317494600432,53.56,6.531317494600431
15157558,6.0,5.0,11.0,6.363636363636363,5.33,15040170,6.146341463414634,7.73,6.146341463414634
15158661,9.0,28.0,2.0,8.0,10.73,15041336,8.0,3.57,6.054054054054054
15158320,8.0,17.0,6.0,6.666666666666666,5.87,15040933,6.222222222222222,7.49,6.222222222222222
15157057,5.0,15.0,9.0,6.999999999999999,4.65,15039668,6.31974921630094,5.02,6.31974921630094
15157265,6.0,12.0,1.0,9.0,3.9,15039877,9.0,3.77,7.024390243902439
15156853,5.0,21.0,2.0,9.0,3.45,15039464,9.0,12.03,6.653465346534653
15157247,5.0,25.0,15.0,6.933333333333334,4.51,15039858,6.63157894736842,4.65,6.63157894736842
15158838,9.0,25.0,8.0,7.0,4.34,15041514,6.631578947368421,8.01,6.631578947368421
15158383,8.0,20.0,8.0,7.0,5.1,15040996,6.596858638743455,9.68,6.596858638743456
15158189,8.0,6.0,2.0,9.0,5.84,15040802,9.0,3.81,6.653465346534654
15157602,6.0,19.0,12.0,6.666666666666666,9.49,15040214,6.3596214511041005,5.61,6.3596214511041005
15157663,6.0,20.0,14.0,6.857142857142857,8.09,15040275,6.596858638743455,5.85,6.596858638743455
