job_id,depth,seed,k,scenario,obj_val,time
15075975,5.0,20.0,7.0,0.0,4.235294117647059,196.14
15075842,5.0,7.0,3.0,0.0,4.235294117647059,14.22
15077239,5.0,24.0,9.0,5.0,4.499985416666436,16059.9
15076721,8.0,16.0,2.0,0.0,3.9999999990001625,39.06
15076206,6.0,11.0,5.0,0.0,4.0,282.63
15077657,7.0,21.0,3.0,5.0,4.235266889667878,1681.33
15076802,8.0,7.0,5.0,0.0,3.4838709677419355,26570.6
15076431,7.0,26.0,2.0,0.0,4.0,18.44
15076109,6.0,4.0,2.0,0.0,4.0,8.8
15075852,5.0,17.0,3.0,0.0,4.0,11.4
15077143,5.0,18.0,6.0,5.0,4.5,96.3
15077621,7.0,15.0,2.0,5.0,4.0,18.9
15077020,5.0,15.0,2.0,5.0,4.235294117123528,13.13
15077958,8.0,22.0,3.0,5.0,4.0,2257.5
15076178,6.0,13.0,4.0,0.0,4.0,299.21
15075807,5.0,2.0,2.0,0.0,4.235294117647059,10.06
15076013,5.0,28.0,8.0,0.0,3.9529411764705884,2142.69
15076016,5.0,1.0,9.0,0.0,3.862068965517241,633.01
15076086,6.0,11.0,1.0,0.0,7.0,8.91
